baker,series,episode,signature_bake,show_stopper,baker_name,baker_age,baker_occupation,hometown,technical,result
Marie,6,1,Zingy Citrus Madeira Cake,A Walk in the Black Forest,Marie Campbell,66,Retired,"Auchterarder, Perthshire",3,STAR BAKER
Mat,6,1,Gin and Tonic Madeira Cake,Black Forest Gateau,Mat Riley,37,Fire fighter,London,7,IN
Nadiya,6,1,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,Nadiya Hussain,30,Full-time mother,Leeds / Luton,12,IN
Paul,6,1,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,Paul Jagger,49,Prison governor,"Swansea, Wales",10,IN
Sandy,6,1,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",9,IN
Stu,6,1,Marley Madeira Cake,Purple Forest Gâteau,Stu Henshall,35,Professional musician,"Guildford, Surrey",11,OUT
Tamal,6,1,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,Tamal Ray,29,Trainee anaesthetist,Manchester,4,IN
Ugnė,6,1,Lemon and Thyme Madeira Cake,Falling Cup Gâteau,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",1,IN
Alvin,6,2,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",6,IN
Dorret,6,2,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,Dorret Conway,53,Accountant,"Penwortham, Lancashire",1,IN
Flora,6,2,Wedding Biscotti,Honey and Earl Grey Tea Box,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",2,IN
Ian,6,2,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",3,STAR BAKER
Marie,6,2,Biscotti Italiano,Russian Box,Marie Campbell,66,Retired,"Auchterarder, Perthshire",11,OUT
Mat,6,2,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,Mat Riley,37,Fire fighter,London,5,IN
Nadiya,6,2,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,Nadiya Hussain,30,Full-time mother,Leeds / Luton,9,IN
Paul,6,2,"Chocolate, Hazelnut and Fig Biscotti",Memory Box,Paul Jagger,49,Prison governor,"Swansea, Wales",10,IN
Sandy,6,2,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",4,IN
Tamal,6,2,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,Tamal Ray,29,Trainee anaesthetist,Manchester,8,IN
Ugnė,6,2,White Wine Biscotti,Baby Climbing into the Cookie Box,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",7,IN
Alvin,6,3,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",4,IN
Dorret,6,3,Walnut and Stilton Soda Breads,Unmade Bread,Dorret Conway,53,Accountant,"Penwortham, Lancashire",6,OUT
Flora,6,3,Fig and Hazelnut Rye Breads,Herb Couture,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",2,IN
Ian,6,3,Wild Garlic Pesto Soda Breads,Flour Power,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",1,STAR BAKER
Mat,6,3,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,Mat Riley,37,Fire fighter,London,8,IN
Nadiya,6,3,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,Nadiya Hussain,30,Full-time mother,Leeds / Luton,9,IN
Paul,6,3,Cranberry and Orange Sweet Soda Breads,King of the Jungle,Paul Jagger,49,Prison governor,"Swansea, Wales",10,IN
Sandy,6,3,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",7,IN
Tamal,6,3,"Fig, Cheese and Walnut Breads",Breadcycle,Tamal Ray,29,Trainee anaesthetist,Manchester,3,IN
Ugnė,6,3,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",5,IN
Alvin,6,4,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",9,IN
Flora,6,4,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",3,IN
Ian,6,4,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",4,STAR BAKER
Mat,6,4,Coconut Crème Brûlées,Chocolate Bar Cheesecakes,Mat Riley,37,Fire fighter,London,7,IN
Nadiya,6,4,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes,Nadiya Hussain,30,Full-time mother,Leeds / Luton,8,IN
Paul,6,4,Almond Crème Brûlées,Berry Cheesecake Tower,Paul Jagger,49,Prison governor,"Swansea, Wales",1,IN
Sandy,6,4,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",6,OUT
Tamal,6,4,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio",Tamal Ray,29,Trainee anaesthetist,Manchester,5,IN
Ugnė,6,4,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes",Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",2,IN
Alvin,6,5,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",8,IN
Flora,6,5,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",3,IN
Ian,6,5,Honey and Flowers Cake,Dessert Island,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",5,IN
Mat,6,5,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll,Mat Riley,37,Fire fighter,London,4,IN
Nadiya,6,5,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll,Nadiya Hussain,30,Full-time mother,Leeds / Luton,1,STAR BAKER
Paul,6,5,Carrot & Pecan Cake,Dessert Island Getaway,Paul Jagger,49,Prison governor,"Swansea, Wales",2,IN
Tamal,6,5,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll,Tamal Ray,29,Trainee anaesthetist,Manchester,7,IN
Ugnė,6,5,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll",Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6,OUT
Alvin,6,6,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",6,OUT
Flora,6,6,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",2,IN
Ian,6,6,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",3,IN
Mat,6,6,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents,Mat Riley,37,Fire fighter,London,1,STAR BAKER
Nadiya,6,6,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents,Nadiya Hussain,30,Full-time mother,Leeds / Luton,4,IN
Paul,6,6,Christmas Frangipane Tart,Savoury and Sweet Bouchées,Paul Jagger,49,Prison governor,"Swansea, Wales",5,IN
Tamal,6,6,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,Tamal Ray,29,Trainee anaesthetist,Manchester,7,IN
Flora,6,7,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe",Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",4,IN
Ian,6,7,Roadkill Pie,Victoria's Crown Charlotte Russe,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",5,IN
Mat,6,7,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe,Mat Riley,37,Fire fighter,London,6,OUT
Nadiya,6,7,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe,Nadiya Hussain,30,Full-time mother,Leeds / Luton,1,IN
Paul,6,7,Not a Boaring Pie,Charlotte Rose,Paul Jagger,49,Prison governor,"Swansea, Wales",2,IN
Tamal,6,7,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",Tamal Ray,29,Trainee anaesthetist,Manchester,3,STAR BAKER
Flora,6,8,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",3,IN
Ian,6,8,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",2,IN
Nadiya,6,8,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,Nadiya Hussain,30,Full-time mother,Leeds / Luton,1,STAR BAKER
Paul,6,8,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne,Paul Jagger,49,Prison governor,"Swansea, Wales",5,OUT
Tamal,6,8,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,Tamal Ray,29,Trainee anaesthetist,Manchester,4,IN
Flora,6,9,Passion Fruit and Chocolate Tart,Cocoa Carousel,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",1,OUT
Ian,6,9,Chocolate and Bay Tart,Chocolate Well,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",3,IN
Nadiya,6,9,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door,Nadiya Hussain,30,Full-time mother,Leeds / Luton,4,STAR BAKER
Tamal,6,9,Chocolate New York Pie,Chocolate Bell Tower,Tamal Ray,29,Trainee anaesthetist,Manchester,2,IN
Ian,6,10,Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",2,Runner-up
Nadiya,6,10,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake,Nadiya Hussain,30,Full-time mother,Leeds / Luton,1,WINNER
Tamal,6,10,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake,Tamal Ray,29,Trainee anaesthetist,Manchester,3,Runner-up
Andrew,7,1,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",12,IN
Benjamina,7,1,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,Benjamina Ebuehi,23,Teaching assistant,South London,6,IN
Candice,7,1,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",5,IN
Jane,7,1,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,Jane Beedle,61,Garden designer,Beckenham,7,STAR BAKER
Kate,7,1,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake,Kate Barmby,37,Nurse,"Brooke, Norfolk",4,IN
Lee,7,1,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake,Lee Banfield,67,Pastor,Bolton,11,OUT
Louise,7,1,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake,Louise Williams,46,Hairdresser,Cardiff,9,IN
Michael,7,1,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze,Michael Georgiou,20,Student,Durham,3,IN
Rav,7,1,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake,Rav Bansal,28,Student support,Erith,8,IN
Selasi,7,1,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",Selasi Gbormittah,30,Client service associate,London,1,IN
Tom,7,1,G&T Drizzle Cake,Black Forest Broken Mirror,Tom Gilliford,26,Project engagement manager,Rochdale,2,IN
Val,7,1,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting,Val Stones,66,"Semi-retired, Substitute teacher",Yeovil,10,IN
Andrew,7,2,Beehive Biscuits,Punting in Cambridge,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",4,IN
Benjamina,7,2,Bouquet Biscuits,"New York, New York",Benjamina Ebuehi,23,Teaching assistant,South London,3,IN
Candice,7,2,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",8,STAR BAKER
Jane,7,2,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat,Jane Beedle,61,Garden designer,Beckenham,2,IN
Kate,7,2,"""A Biscuit for the Broads""","""I Promise I will do my best""",Kate Barmby,37,Nurse,"Brooke, Norfolk",1,IN
Louise,7,2,Baa Bara Brith Biscuits,Gingerbread Wedding,Louise Williams,46,Hairdresser,Cardiff,10,OUT
Michael,7,2,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland,Michael Georgiou,20,Student,Durham,9,IN
Rav,7,2,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground,Rav Bansal,28,Student support,Erith,6,IN
Selasi,7,2,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church,Selasi Gbormittah,30,Client service associate,London,11,IN
Tom,7,2,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience,Tom Gilliford,26,Project engagement manager,Rochdale,7,IN
Val,7,2,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire,Val Stones,66,"Semi-retired, Substitute teacher",Yeovil,5,IN
Andrew,7,3,Chocolate Barmbrack Bread,Braided Harvest Bread Basket,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",2,IN
Benjamina,7,3,"Chocolate, Tahini and Almond Babka",Braided Bread Heart,Benjamina Ebuehi,23,Teaching assistant,South London,6,IN
Candice,7,3,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",3,IN
Jane,7,3,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre,Jane Beedle,61,Garden designer,Beckenham,9,IN
Kate,7,3,Cobbled Loaf,The Corn Maiden,Kate Barmby,37,Nurse,"Brooke, Norfolk",8,IN
Michael,7,3,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,Michael Georgiou,20,Student,Durham,7,OUT
Rav,7,3,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece,Rav Bansal,28,Student support,Erith,10,IN
Selasi,7,3,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread,Selasi Gbormittah,30,Client service associate,London,5,IN
Tom,7,3,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir,Tom Gilliford,26,Project engagement manager,Rochdale,4,STAR BAKER
Val,7,3,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain""",Val Stones,66,"Semi-retired, Substitute teacher",Yeovil,1,IN
Andrew,7,4,Yorkshire 'Tapas' Puddings,Churros Window Box,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",4,IN
Benjamina,7,4,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,Benjamina Ebuehi,23,Teaching assistant,South London,1,STAR BAKER
Candice,7,4,Yorkshire Wellingtons,Two-Way Peanut Butter Churros,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",2,IN
Jane,7,4,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros,Jane Beedle,61,Garden designer,Beckenham,3,IN
Kate,7,4,Christmas Dinner Compromise,Hot Cross Bunny Churros,Kate Barmby,37,Nurse,"Brooke, Norfolk",7,OUT
Rav,7,4,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,Rav Bansal,28,Student support,Erith,9,IN
Selasi,7,4,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,Selasi Gbormittah,30,Client service associate,London,8,IN
Tom,7,4,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,Tom Gilliford,26,Project engagement manager,Rochdale,5,IN
Val,7,4,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,Val Stones,66,"Semi-retired, Substitute teacher",Yeovil,6,IN
Andrew,7,5,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",6,IN
Benjamina,7,5,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,Benjamina Ebuehi,23,Teaching assistant,South London,5,IN
Candice,7,5,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",2,STAR BAKER
Jane,7,5,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",Jane Beedle,61,Garden designer,Beckenham,1,IN
Rav,7,5,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,Rav Bansal,28,Student support,Erith,8,IN
Selasi,7,5,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",Selasi Gbormittah,30,Client service associate,London,3,IN
Tom,7,5,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche,Tom Gilliford,26,Project engagement manager,Rochdale,4,IN
Val,7,5,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",Val Stones,66,"Semi-retired, Substitute teacher",Yeovil,7,OUT
Andrew,7,6,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",6,IN
Benjamina,7,6,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,Benjamina Ebuehi,23,Teaching assistant,South London,2,IN
Candice,7,6,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",5,IN
Jane,7,6,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar,Jane Beedle,61,Garden designer,Beckenham,4,IN
Rav,7,6,Mandarin Margarita Meringue Pie,Blossom Cake,Rav Bansal,28,Student support,Erith,3,OUT
Selasi,7,6,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake,Selasi Gbormittah,30,Client service associate,London,7,IN
Tom,7,6,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake,Tom Gilliford,26,Project engagement manager,Rochdale,1,STAR BAKER
Andrew,7,7,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",1,STAR BAKER
Benjamina,7,7,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,Benjamina Ebuehi,23,Teaching assistant,South London,3,IN
Candice,7,7,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",2,IN
Jane,7,7,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",Jane Beedle,61,Garden designer,Beckenham,4,IN
Selasi,7,7,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",Selasi Gbormittah,30,Client service associate,London,6,IN
Tom,7,7,Millionaire's Roulade,Hipster Picnic,Tom Gilliford,26,Project engagement manager,Rochdale,5,OUT
Andrew,7,8,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",2,IN
Benjamina,7,8,Mexican Adventure,Tudor Garden,Benjamina Ebuehi,23,Teaching assistant,South London,4,OUT
Candice,7,8,Cheesy Cheeky Fish Pies,Peacock,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",1,STAR BAKER
Jane,7,8,Tudor Rose Pies,Swans,Jane Beedle,61,Garden designer,Beckenham,5,IN
Selasi,7,8,Bouquet of Flowers,Fruity Tudor Marchpane,Selasi Gbormittah,30,Client service associate,London,3,IN
Andrew,7,9,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",2,STAR BAKER
Candice,7,9,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",3,IN
Jane,7,9,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,Jane Beedle,61,Garden designer,Beckenham,1,IN
Selasi,7,9,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,Selasi Gbormittah,30,Client service associate,London,4,OUT
Andrew,7,10,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",1,Runner-up
Candice,7,10,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",2,WINNER
Jane,7,10,"Red, White and Blue Meringue Crown",Family Favourites Feast,Jane Beedle,61,Garden designer,Beckenham,3,Runner-up
Chris,8,1,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake,Chris Geiger,50,Software developer,Bristol,12,IN
Flo,8,1,Citrus Layer Cake,'One in a Melon' Cake,Flo Atkins,71,Retired,Merseyside,9,IN
James,8,1,"Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake,James Hillery,46,Banker,"Brentwood, Essex",2,IN
Julia,8,1,Courgette and Lemon Cake,'Russian Doll' Cake,Julia Chernogorova,21,Aviation Broker,"Crawley, West Sussex",3,IN
Kate,8,1,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake,Kate Lyon,29,Health and safety inspector,Merseyside,1,IN
Liam,8,1,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake,Liam Charles,19,Student,North London,8,IN
Peter,8,1,Coconut Cake,'Bread on a Breadboard' Cake,Peter Abatan,52,IT programme manager,"Southend, Essex",10,OUT
Sophie,8,1,Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake,Sophie Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",5,IN
Stacey,8,1,Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake,Stacey Hart,42,Former school teacher,"Radlett, Hertfordshire",11,IN
Steven,8,1,Bonfire Night Cake,'A Baker's Lunch' Cake,Steven Carter-Bailey,34,Marketer,"Watford, Hertfordshire",6,STAR BAKER
Tom,8,1,Gilded Pear and Cardamom Cake,'Stack of Books' Cake,Tom Hetherington,29,Architect,Edinburgh,7,IN
Yan,8,1,Windfall Apple Crumble Cake,'Banana-ramen' Cake,Yan Tsou,46,Laboratory research scientist,North London,4,IN
Chris,8,2,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,Chris Geiger,50,Software developer,Bristol,11,OUT
Flo,8,2,Gin Jam Butties,'Pick My Bones' Game,Flo Atkins,71,Retired,Merseyside,10,IN
James,8,2,Rhubarb and Custard Whirls,'Coppit' Game,James Hillery,46,Banker,"Brentwood, Essex",3,IN
Julia,8,2,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game,Julia Chernogorova,21,Aviation Broker,"Crawley, West Sussex",4,IN
Kate,8,2,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game,Kate Lyon,29,Health and safety inspector,Merseyside,8,IN
Liam,8,2,Coffee Malted Pecan Shorties,'Classroom Classics' Game,Liam Charles,19,Student,North London,7,IN
Sophie,8,2,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game,Sophie Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",2,IN
Stacey,8,2,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game,Stacey Hart,42,Former school teacher,"Radlett, Hertfordshire",9,IN
Steven,8,2,Amarpressi Biscuits,'Check Bake' Game,Steven Carter-Bailey,34,Marketer,"Watford, Hertfordshire",6,STAR BAKER
Tom,8,2,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game,Tom Hetherington,29,Architect,Edinburgh,5,IN
Yan,8,2,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game,Yan Tsou,46,Laboratory research scientist,North London,1,IN
Flo,8,3,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,Flo Atkins,71,Retired,Merseyside,7,OUT
James,8,3,Nordic Teacakes,'Owl in the Woods' Bread Sculpture,James Hillery,46,Banker,"Brentwood, Essex",9,IN
Julia,8,3,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture,Julia Chernogorova,21,Aviation Broker,"Crawley, West Sussex",2,STAR BAKER
Kate,8,3,Blueberry Buns,'Kraken' Bread Sculpture,Kate Lyon,29,Health and safety inspector,Merseyside,10,IN
Liam,8,3,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture,Liam Charles,19,Student,North London,5,IN
Sophie,8,3,Tagine Teacakes,'Picnic Basket' Bread Sculpture,Sophie Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",6,IN
Stacey,8,3,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture,Stacey Hart,42,Former school teacher,"Radlett, Hertfordshire",1,IN
